2020-02-23	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-02-19	ST	Night	CONFIRMED	沙田馬場	沙田夜馬
2020-02-16	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 「花旗銀行香港金盃」、「女皇銀禧紀念盃」
2020-02-12	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-02-08	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-02-05	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-01-15	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-01-19	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 「董事盃」及「百週年紀念短途盃」
2020-01-22	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-01-27	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-01-29	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-02-02	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-01-11	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-12-15	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-01-08	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2020-01-05	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2020-01-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 「好運1月1」賽馬日
2019-12-29	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-12-26	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-12-21	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-12-18	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-12-11	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-12-08	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 浪琴表香港國際賽
2019-12-04	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-12-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-11-27	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-11-23	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-11-20	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-11-17	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-11-13	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-11-09	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-11-06	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-11-03	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-10-30	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-10-27	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-10-23	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-10-20	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-10-16	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-10-12	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-10-09	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-10-06	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-10-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-09-25	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-09-21	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-09-18	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-09-15	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-09-11	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-09-08	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-09-01	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-07-14	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-07-10	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-07-07	ST	Day	CONFIRMED	沙田馬場	沙田日馬
2019-07-03	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-06-26	HV	Night	CONFIRMED	跑馬地馬場	跑馬地夜馬
2019-06-23	ST	Day	CONFIRMED	沙田馬場	沙田日馬 - 精英盃及精英碟
2019-06-16	ST	Day	CONFIRMED	沙田馬場	沙田日馬
